Altium Designer Pick and Place Locations
D:\ADProjectFiles\nfc\NFC\Project Outputs for NFC\Pick Place for NFC.csv

========================================================================================================================
File Design Information:

Date:       14/12/20
Time:       22:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LED1","MHT192KGCT","TopLayer","LED-0603","3.9838","29.0208","90","LED"
"U0","ST95HF-VMD5T","TopLayer","VFQFPN-32","32.4480","26.2676","180",""
"L14","742792093","TopLayer","0805","33.7217","16.5862","90",""
"L12","742792042","TopLayer","0805","21.9952","25.9112","90",""
"L11","560nh","TopLayer","0805","37.2725","30.7728","90",""
"L10","560nh","TopLayer","0805","37.3380","22.8730","270",""
"L13","742792042","TopLayer","0805","30.5620","15.5862","360",""
"U4","AMS1117-3.3","TopLayer","SOT-223","25.0952","5.7110","360",""
"USB","USB","TopLayer","MICRO-USB","34.9599","3.6806","360",""
"U1","CodeSwitch","TopLayer","SOP12","6.3918","44.9072","180",""
"R204","3.3k","TopLayer","res0402","2.4610","33.5113","90",""
"R203","3.3k","TopLayer","res0402","3.5268","33.5113","90",""
"R202","3.3k","TopLayer","res0402","4.6442","33.5113","90",""
"R201","3.3k","TopLayer","res0402","5.7794","33.5113","90",""
"T1","ST95ANT","TopLayer","ST95ANT","49.7583","26.7623","0",""
"C118","1uF","TopLayer","0402cap","36.3601","18.0594","180",""
"C117","1uF","TopLayer","0402cap","24.3205","25.8060","180",""
"NX2016","27.12MHz","TopLayer","SMD-2016_4P","30.7606","19.8669","270",""
"TP2","TestPoint","TopLayer","TestPoint","43.0276","38.2539","90",""
"TP1","TestPoint","TopLayer","TestPoint","43.0276","35.2552","270",""
"FL1","NFM18PS105R0J3D","TopLayer","NFM18PS","34.9568","19.9858","270",""
"C116","104","TopLayer","0402cap","36.3601","16.9382","180",""
"C115","104","TopLayer","0402cap","36.3601","15.7226","180",""
"C114","104","TopLayer","0402cap","24.3205","24.5466","360",""
"C113","104","TopLayer","0402cap","24.3205","27.0176","360",""
"C112","10p","TopLayer","0402cap","28.6454","20.0493","90",""
"C111","10p","TopLayer","0402cap","32.7599","19.7372","90",""
"R25","0R","TopLayer","res0402","31.5860","31.2253","270",""
"R24","0R","TopLayer","res0402","26.8097","24.6592","360",""
"R23","NC","TopLayer","res0402","32.6980","31.1999","90",""
"R22","NC","TopLayer","res0402","26.8097","25.8786","180",""
"R21","3.3k","TopLayer","res0402","26.7653","27.0476","360",""
"R20","3.3k","TopLayer","res0402","33.9630","31.1745","270",""
"R19","NC","TopLayer","res0402","23.3299","19.2016","180",""
